"pathway_id","pathway_description","NES","p.adjust","direction","n_core_genes","n_ko_hits","ko_genes_hit","ko_ranks_hit","ko_scores_hit","ko_modules_hit"
"GO:0007254","JNK cascade",1.60631692683383,0.0100863009601907,"activated",65,1,"TRIB1","14","1.991","signalling"
"GO:0010720","positive regulation of cell development",1.60501335487903,0.000187557316225384,"activated",144,9,"HIF1A; TRIB1; IL10; PRKDC; HLX; CD86; CD46; F11R; TRPV2","1; 14; 36; 46; 47; 57; 63; 97; 100","3.18; 1.991; 1.539; 1.313; 1.312; 1.164; 1.069; 0.614; 0.583","signalling; signalling; immune; uncharacterised; uncharacterised; immune; uncharacterised; uncharacterised; immune"
"GO:0002695","negative regulation of leukocyte activation",1.604710136583,0.00716403412502457,"activated",66,6,"IL10; HLX; CD86; TIGIT; MERTK; STAT5A","36; 47; 57; 75; 85; 96","1.539; 1.312; 1.164; 0.914; 0.811; 0.63","immune; uncharacterised; immune; immune; immune; signalling"
"GO:0002832","negative regulation of response to biotic stimulus",1.60394491255834,0.0187173118198964,"activated",44,2,"TRIB1; KLRD1","14; 45","1.991; 1.32","signalling; immune"
"GO:0002440","production of molecular mediator of immune response",1.60350584853996,0.00380885715210971,"activated",81,4,"TREM1; IL10; PRKDC; CD86","11; 36; 46; 57","2.127; 1.539; 1.313; 1.164","immune; immune; uncharacterised; immune"
"GO:0016197","endosomal transport",1.5990431814153,0.0012567334502465,"activated",95,2,"TMCC1; SPAG9","71; 156","0.996; 0.13","uncharacterised; uncharacterised"
"GO:0031348","negative regulation of defense response",1.59716600788291,0.00230117143775714,"activated",77,3,"IL10; KLRD1; SOCS3","36; 45; 103","1.539; 1.32; 0.563","immune; immune; signalling"
"GO:0042058","regulation of epidermal growth factor receptor signaling pathway",1.59461278316083,0.0452552351216838,"activated",18,1,"FASLG","144","0.213","immune"
"GO:0051090","regulation of DNA-binding transcription factor activity",1.59148752631167,0.000736165119933646,"activated",104,4,"TRIB1; RPS6KA5; IL10; IKBKB","14; 23; 36; 39","1.991; 1.774; 1.539; 1.464","signalling; signalling; immune; signalling"
"GO:0002683","negative regulation of immune system process",1.58912163379857,8.26263163926362e-05,"activated",150,10,"TRIB1; IL10; KLRD1; PRKDC; HLX; CD86; CD46; TIGIT; MERTK; STAT5A","14; 36; 45; 46; 47; 57; 63; 75; 85; 96","1.991; 1.539; 1.32; 1.313; 1.312; 1.164; 1.069; 0.914; 0.811; 0.63","signalling; immune; immune; uncharacterised; uncharacterised; immune; uncharacterised; immune; immune; signalling"
"GO:0045639","positive regulation of myeloid cell differentiation",1.58719155546017,0.0204377293865218,"activated",33,4,"HIF1A; TRIB1; PRKDC; ACVR1B","1; 14; 46; 155","3.18; 1.991; 1.313; 0.13","signalling; signalling; uncharacterised; uncharacterised"
"GO:0042130","negative regulation of T cell proliferation",1.58678157944161,0.0404858679413,"activated",25,2,"IL10; CD86","36; 57","1.539; 1.164","immune; immune"
"GO:0032944","regulation of mononuclear cell proliferation",1.58664459057968,0.00322107290200968,"activated",94,5,"IRS2; GPR183; IL10; CD86; CD46","26; 35; 36; 57; 63","1.728; 1.552; 1.539; 1.164; 1.069","signalling; uncharacterised; immune; immune; uncharacterised"
"GO:0051607","defense response to virus",1.58445865302169,0.00237855638263138,"activated",101,1,"PRF1","2","3.151","immune"
"GO:0032637","interleukin-8 production",1.58209483196299,0.0329135371620767,"activated",33,1,"IL10","36","1.539","immune"
"GO:0032677","regulation of interleukin-8 production",1.58209483196299,0.0329135371620767,"activated",33,1,"IL10","36","1.539","immune"
"GO:0000045","autophagosome assembly",1.5820076362659,0.0218509440584485,"activated",44,1,"ATG2A","31","1.656","uncharacterised"
"GO:0009615","response to virus",1.57711537020443,0.000196315701261368,"activated",128,3,"HIF1A; PRF1; IKBKB","1; 2; 39","3.18; 3.151; 1.464","signalling; immune; signalling"
"GO:1901222","regulation of non-canonical NF-kappaB signal transduction",1.57612307543202,0.0321294754058453,"activated",32,1,"CD86","57","1.164","immune"
"GO:0032602","chemokine production",1.57403372254648,0.0329135371620767,"activated",34,2,"HIF1A; IL10","1; 36","3.18; 1.539","signalling; immune"
"GO:0032642","regulation of chemokine production",1.57403372254648,0.0329135371620767,"activated",34,2,"HIF1A; IL10","1; 36","3.18; 1.539","signalling; immune"
"GO:0045814","negative regulation of gene expression, epigenetic",1.57390601209274,0.0163027443108079,"activated",42,2,"JARID2; PCGF3","13; 84","1.994; 0.85","epigenetic; epigenetic"
"GO:0097306","cellular response to alcohol",1.57094060674569,0.0344191717778898,"activated",30,3,"GRAMD1C; BTG2; PTGDR","118; 119; 145","0.428; 0.424; 0.212","metabolism; apoptosis; uncharacterised"
"GO:0042129","regulation of T cell proliferation",1.57036630831547,0.00964884601727381,"activated",71,3,"IL10; CD86; CD46","36; 57; 63","1.539; 1.164; 1.069","immune; immune; uncharacterised"
"GO:0034612","response to tumor necrosis factor",1.57022374559891,0.00542111596949918,"activated",76,1,"IKBKB","39","1.464","signalling"
"GO:0070373","negative regulation of ERK1 and ERK2 cascade",1.56876903964621,0.0397715326095267,"activated",20,1,"CHRNA10","72","0.939","uncharacterised"
"GO:0042100","B cell proliferation",1.5657348762312,0.0344889141141361,"activated",37,3,"IRS2; GPR183; IL10","26; 35; 36","1.728; 1.552; 1.539","signalling; uncharacterised; immune"
"GO:0031507","heterochromatin formation",1.56548905121452,0.026971475309606,"activated",36,2,"JARID2; PCGF3","13; 84","1.994; 0.85","epigenetic; epigenetic"
"GO:0071216","cellular response to biotic stimulus",1.56239371818992,0.00432203020389464,"activated",82,4,"TRIB1; IL10; CD86; PDE4B","14; 36; 57; 148","1.991; 1.539; 1.164; 0.191","signalling; immune; immune; uncharacterised"
"GO:0051648","vesicle localization",1.56011529692649,0.0144018028385246,"activated",59,2,"ARFGAP3; SNAP23","38; 112","1.501; 0.51","uncharacterised; uncharacterised"
"GO:0071356","cellular response to tumor necrosis factor",1.55919747177311,0.00989590846952057,"activated",69,1,"IKBKB","39","1.464","signalling"
"GO:1903557","positive regulation of tumor necrosis factor superfamily cytokine production",1.5582922993427,0.0255186332236047,"activated",40,1,"CD86","57","1.164","immune"
"GO:0007249","canonical NF-kappaB signal transduction",1.55353459905056,0.00346848751347424,"activated",107,2,"IKBKB; FASLG","39; 144","1.464; 0.213","signalling; immune"
"GO:0062207","regulation of pattern recognition receptor signaling pathway",1.55288431025026,0.0170352575824596,"activated",74,2,"IKBKB; PRKDC","39; 46","1.464; 1.313","signalling; uncharacterised"
"GO:0051091","positive regulation of DNA-binding transcription factor activity",1.54832779914938,0.0108778505938276,"activated",79,3,"RPS6KA5; IL10; IKBKB","23; 36; 39","1.774; 1.539; 1.464","signalling; immune; signalling"
"GO:0002312","B cell activation involved in immune response",1.54699977982848,0.0404858679413,"activated",35,2,"GPR183; IL10","35; 36","1.552; 1.539","uncharacterised; immune"
"GO:0022409","positive regulation of cell-cell adhesion",1.5455138746162,0.00314575915501253,"activated",131,5,"IL10; HLX; CD86; CD46; F11R","36; 47; 57; 63; 97","1.539; 1.312; 1.164; 1.069; 0.614","immune; uncharacterised; immune; uncharacterised; uncharacterised"
"GO:0022604","regulation of cell morphogenesis",1.54349142235791,0.00661263763494011,"activated",80,5,"PRKDC; RHOU; F11R; SPAG9; DNMBP","46; 66; 97; 156; 161","1.313; 1.041; 0.614; 0.13; 0.111","uncharacterised; uncharacterised; uncharacterised; uncharacterised; uncharacterised"
"GO:0022406","membrane docking",1.54234314288327,0.0443357624962329,"activated",32,1,"VPS18","141","0.229","uncharacterised"
"GO:0033209","tumor necrosis factor-mediated signaling pathway",1.54234103838157,0.0309424523922054,"activated",47,1,"IKBKB","39","1.464","signalling"
"GO:0007162","negative regulation of cell adhesion",1.54177287534907,0.00308625502971143,"activated",104,7,"AKNA; IL10; HLX; CD86; TIGIT; STAT5A; PDE3B","7; 36; 47; 57; 75; 96; 139","2.244; 1.539; 1.312; 1.164; 0.914; 0.63; 0.248","epigenetic; immune; uncharacterised; immune; immune; signalling; uncharacterised"
"GO:2000142","regulation of DNA-templated transcription initiation",1.53896832375627,0.0452936422593723,"activated",29,1,"CAND1","130","0.293","uncharacterised"
"GO:1902106","negative regulation of leukocyte differentiation",1.53858798022149,0.0309533877739558,"activated",43,3,"TRIB1; HLX; STAT5A","14; 47; 96","1.991; 1.312; 0.63","signalling; uncharacterised; signalling"
"GO:0045446","endothelial cell differentiation",1.53797975487098,0.0337535372580755,"activated",34,4,"BTG1; IKBKB; RAPGEF2; F11R","3; 39; 62; 97","3.142; 1.464; 1.079; 0.614","apoptosis; signalling; signalling; uncharacterised"
"GO:0050727","regulation of inflammatory response",1.53697942032698,0.000630717243335399,"activated",109,4,"AKNA; IL10; PLA2G7; SOCS3","7; 36; 81; 103","2.244; 1.539; 0.872; 0.563","epigenetic; immune; immune; signalling"
"GO:0018105","peptidyl-serine phosphorylation",1.53521615507164,0.0212931434925318,"activated",49,3,"RAF1; IKBKB; PRKDC","21; 39; 46","1.863; 1.464; 1.313","signalling; signalling; uncharacterised"
"GO:0032612","interleukin-1 production",1.53507836242321,0.0344889141141361,"activated",43,2,"IL10; PANX2","36; 99","1.539; 0.599","immune; uncharacterised"
"GO:0032652","regulation of interleukin-1 production",1.53507836242321,0.0344889141141361,"activated",43,2,"IL10; PANX2","36; 99","1.539; 0.599","immune; uncharacterised"
"GO:0001776","leukocyte homeostasis",1.53308945449921,0.0344889141141361,"activated",48,4,"HIF1A; GPR183; MERTK; PDE4B","1; 35; 85; 148","3.18; 1.552; 0.811; 0.191","signalling; uncharacterised; immune; uncharacterised"
"GO:0018209","peptidyl-serine modification",1.53224111243741,0.020397006485846,"activated",50,3,"RAF1; IKBKB; PRKDC","21; 39; 46","1.863; 1.464; 1.313","signalling; signalling; uncharacterised"
"GO:0022408","negative regulation of cell-cell adhesion",1.53128962232884,0.0130201865587206,"activated",67,6,"AKNA; IL10; HLX; CD86; TIGIT; STAT5A","7; 36; 47; 57; 75; 96","2.244; 1.539; 1.312; 1.164; 0.914; 0.63","epigenetic; immune; uncharacterised; immune; immune; signalling"
"GO:0051650","establishment of vesicle localization",1.53093154163685,0.0123259690419159,"activated",55,2,"ARFGAP3; SNAP23","38; 112","1.501; 0.51","uncharacterised; uncharacterised"
"GO:0001818","negative regulation of cytokine production",1.53047783446336,0.00800851341148914,"activated",108,4,"RPS6KA5; IL10; TIGIT; MERTK","23; 36; 75; 85","1.774; 1.539; 0.914; 0.811","signalling; immune; immune; immune"
"GO:0022407","regulation of cell-cell adhesion",1.52783010471697,0.000984350978560102,"activated",171,8,"AKNA; IL10; HLX; CD86; CD46; TIGIT; STAT5A; F11R","7; 36; 47; 57; 63; 75; 96; 97","2.244; 1.539; 1.312; 1.164; 1.069; 0.914; 0.63; 0.614","epigenetic; immune; uncharacterised; immune; uncharacterised; immune; signalling; uncharacterised"
"GO:0018108","peptidyl-tyrosine phosphorylation",1.5274730384113,0.0132935023793973,"activated",62,2,"AREG; CASS4","17; 44","1.905; 1.338","immune; uncharacterised"
"GO:0032869","cellular response to insulin stimulus",1.52524229128104,0.0152784218013383,"activated",61,6,"RAF1; NCOA2; IRS2; PRKDC; SOCS3; PDE3B","21; 22; 26; 46; 103; 139","1.863; 1.79; 1.728; 1.313; 0.563; 0.248","signalling; epigenetic; signalling; uncharacterised; signalling; uncharacterised"
"GO:0032273","positive regulation of protein polymerization",1.52152529949173,0.0453505666006547,"activated",27,1,"TPPP","80","0.879","uncharacterised"
"GO:1903038","negative regulation of leukocyte cell-cell adhesion",1.52114342523317,0.0425494811701004,"activated",52,5,"IL10; HLX; CD86; TIGIT; STAT5A","36; 47; 57; 75; 96","1.539; 1.312; 1.164; 0.914; 0.63","immune; uncharacterised; immune; immune; signalling"
"GO:0007033","vacuole organization",1.51666047652261,0.0165053583808888,"activated",76,2,"ATG2A; VPS18","31; 141","1.656; 0.229","uncharacterised; uncharacterised"
"GO:0032868","response to insulin",1.51482137811511,0.00583366851839622,"activated",76,7,"RAF1; NCOA2; IRS2; IL10; PRKDC; SOCS3; PDE3B","21; 22; 26; 36; 46; 103; 139","1.863; 1.79; 1.728; 1.539; 1.313; 0.563; 0.248","signalling; epigenetic; signalling; immune; uncharacterised; signalling; uncharacterised"
"GO:0006997","nucleus organization",1.51296906006226,0.031790425012213,"activated",49,2,"AGFG1; CCDC146","138; 162","0.256; 0.094","uncharacterised; uncharacterised"
"GO:0071706","tumor necrosis factor superfamily cytokine production",1.51253962276967,0.0254895931195942,"activated",70,2,"IL10; CD86","36; 57","1.539; 1.164","immune; immune"
"GO:1903555","regulation of tumor necrosis factor superfamily cytokine production",1.51253962276967,0.0254895931195942,"activated",70,2,"IL10; CD86","36; 57","1.539; 1.164","immune; immune"
"GO:0002520","immune system development",1.5111242642804,0.0162332702957408,"activated",60,4,"JARID2; RAF1; IL10; PRKDC","13; 21; 36; 46","1.994; 1.863; 1.539; 1.313","epigenetic; signalling; immune; uncharacterised"
"GO:0016482","cytosolic transport",1.51072107549676,0.0372979196896232,"activated",49,1,"SPAG9","156","0.13","uncharacterised"
"GO:0071674","mononuclear cell migration",1.51044140065071,0.0166233510566775,"activated",68,3,"GPR183; PLA2G7; F11R","35; 81; 97","1.552; 0.872; 0.614","uncharacterised; immune; uncharacterised"
"GO:0007041","lysosomal transport",1.50843244722103,0.0351597108073802,"activated",50,2,"IGF2R; VPS18","15; 141","1.929; 0.229","signalling; uncharacterised"
"GO:0018212","peptidyl-tyrosine modification",1.50796809945526,0.0151185988818282,"activated",63,2,"AREG; CASS4","17; 44","1.905; 1.338","immune; uncharacterised"
"GO:0019827","stem cell population maintenance",1.50499894542345,0.0376629836892671,"activated",59,1,"RAF1","21","1.863","signalling"
"GO:0050900","leukocyte migration",1.50423643686479,0.00227003164936124,"activated",118,6,"TREM1; GPR183; IL10; PLA2G7; F11R; PDE4B","11; 35; 36; 81; 97; 148","2.127; 1.552; 1.539; 0.872; 0.614; 0.191","immune; uncharacterised; immune; immune; uncharacterised; uncharacterised"
"GO:0032479","regulation of type I interferon production",1.50295268623112,0.0404576481408044,"activated",45,1,"IL10","36","1.539","immune"
"GO:0032606","type I interferon production",1.50295268623112,0.0404576481408044,"activated",45,1,"IL10","36","1.539","immune"
"GO:0071675","regulation of mononuclear cell migration",1.50153904473909,0.0363954798368648,"activated",41,1,"PLA2G7","81","0.872","immune"
"GO:0021543","pallium development",1.50078550231339,0.0254895931195942,"activated",34,2,"HIF1A; BTG2","1; 119","3.18; 0.424","signalling; apoptosis"
"GO:0043123","positive regulation of canonical NF-kappaB signal transduction",1.49817695252662,0.0179332496897928,"activated",75,2,"IKBKB; FASLG","39; 144","1.464; 0.213","signalling; immune"
"GO:0030595","leukocyte chemotaxis",1.49795039502847,0.0146831773899611,"activated",55,5,"TREM1; GPR183; IL10; PLA2G7; PDE4B","11; 35; 36; 81; 148","2.127; 1.552; 1.539; 0.872; 0.191","immune; uncharacterised; immune; immune; uncharacterised"
"GO:0050730","regulation of peptidyl-tyrosine phosphorylation",1.49662297065465,0.0329135371620767,"activated",51,2,"AREG; CASS4","17; 44","1.905; 1.338","immune; uncharacterised"
"GO:0043122","regulation of canonical NF-kappaB signal transduction",1.49403024482129,0.00835883194343135,"activated",100,2,"IKBKB; FASLG","39; 144","1.464; 0.213","signalling; immune"
"GO:0016311","dephosphorylation",1.48519811420325,0.0209188941481796,"activated",55,1,"DUSP2","124","0.354","signalling"
"GO:0050866","negative regulation of cell activation",1.47630142535934,0.0305439952437574,"activated",67,6,"IL10; HLX; CD86; TIGIT; MERTK; STAT5A","36; 47; 57; 75; 85; 96","1.539; 1.312; 1.164; 0.914; 0.811; 0.63","immune; uncharacterised; immune; immune; immune; signalling"
"GO:0032640","tumor necrosis factor production",1.47463060795722,0.0337535372580755,"activated",67,1,"IL10","36","1.539","immune"
"GO:0032680","regulation of tumor necrosis factor production",1.47463060795722,0.0337535372580755,"activated",67,1,"IL10","36","1.539","immune"
"GO:0002573","myeloid leukocyte differentiation",1.47200329152165,0.0193206044997189,"activated",75,3,"TRIB1; GPR183; STAT5A","14; 35; 96","1.991; 1.552; 0.63","signalling; uncharacterised; signalling"
"GO:0071375","cellular response to peptide hormone stimulus",1.4688090335815,0.0113143854411444,"activated",77,8,"RAF1; NCOA2; IRS2; PRKDC; NR4A2; STAT5A; SOCS3; PDE3B","21; 22; 26; 46; 94; 96; 103; 139","1.863; 1.79; 1.728; 1.313; 0.675; 0.63; 0.563; 0.248","signalling; epigenetic; signalling; uncharacterised; apoptosis; signalling; signalling; uncharacterised"
"GO:0043549","regulation of kinase activity",1.46426849459767,0.00331389308751176,"activated",121,5,"TRIB1; IRS2; CASS4; RAPGEF2; PIK3R5","14; 26; 44; 62; 154","1.991; 1.728; 1.338; 1.079; 0.137","signalling; signalling; uncharacterised; signalling; immune"
"GO:0060326","cell chemotaxis",1.45583253968014,0.0146119229985294,"activated",93,6,"TREM1; GPR183; IL10; PLA2G7; DOCK4; PDE4B","11; 35; 36; 81; 137; 148","2.127; 1.552; 1.539; 0.872; 0.262; 0.191","immune; uncharacterised; immune; immune; uncharacterised; uncharacterised"
"GO:0032102","negative regulation of response to external stimulus",1.45309532409589,0.00580375891620695,"activated",105,4,"TRIB1; IL10; KLRD1; SOCS3","14; 36; 45; 103","1.991; 1.539; 1.32; 0.563","signalling; immune; immune; signalling"
"GO:0040029","epigenetic regulation of gene expression",1.44954211408783,0.0300432556255229,"activated",62,2,"JARID2; PCGF3","13; 84","1.994; 0.85","epigenetic; epigenetic"
"GO:0045055","regulated exocytosis",1.44721838663949,0.0360923560361148,"activated",50,3,"SNAP23; VPS18; PTGDR","112; 141; 145","0.51; 0.229; 0.212","uncharacterised; uncharacterised; uncharacterised"
"GO:0071219","cellular response to molecule of bacterial origin",1.44613477362668,0.0361297859268672,"activated",71,4,"TRIB1; IL10; CD86; PDE4B","14; 36; 57; 148","1.991; 1.539; 1.164; 0.191","signalling; immune; immune; uncharacterised"
"GO:0001764","neuron migration",1.44379051872081,0.042110550269569,"activated",41,4,"KIAA0319L; RAPGEF2; NR4A2; AUTS2","60; 62; 94; 98","1.151; 1.079; 0.675; 0.603","uncharacterised; signalling; apoptosis; epigenetic"
"GO:0006650","glycerophospholipid metabolic process",1.4371480456307,0.0134910176042816,"activated",71,3,"PLA2G7; ACSL3; PIK3R5","81; 95; 154","0.872; 0.642; 0.137","immune; metabolism; immune"
"GO:0043434","response to peptide hormone",1.43581288970354,0.00592418685797645,"activated",108,11,"AREG; RAF1; NCOA2; IRS2; IL10; PRKDC; NR4A2; STAT5A; SOCS3; BTG2; PDE3B","17; 21; 22; 26; 36; 46; 94; 96; 103; 119; 139","1.905; 1.863; 1.79; 1.728; 1.539; 1.313; 0.675; 0.63; 0.563; 0.424; 0.248","immune; signalling; epigenetic; signalling; immune; uncharacterised; apoptosis; signalling; signalling; apoptosis; uncharacterised"
"GO:0098727","maintenance of cell number",1.43521988646093,0.0439864847690553,"activated",59,1,"RAF1","21","1.863","signalling"
"GO:0001906","cell killing",1.43490229571673,0.0337535372580755,"activated",84,4,"PRF1; TREM1; KLRD1; KIR3DL1","2; 11; 45; 113","3.151; 2.127; 1.32; 0.502","immune; immune; immune; immune"
"GO:0034976","response to endoplasmic reticulum stress",1.41739148549279,0.0329135371620767,"activated",78,3,"PARP16; MARCKS; PPP1R15A","108; 120; 143","0.518; 0.406; 0.215","uncharacterised; signalling; signalling"
"GO:0045785","positive regulation of cell adhesion",1.41677642141678,0.00376426935327874,"activated",162,6,"IL10; CASS4; HLX; CD86; CD46; F11R","36; 44; 47; 57; 63; 97","1.539; 1.338; 1.312; 1.164; 1.069; 0.614","immune; uncharacterised; uncharacterised; immune; uncharacterised; uncharacterised"
"GO:0051260","protein homooligomerization",1.41489905886383,0.0480745799322745,"activated",63,1,"PRF1","2","3.151","immune"
"GO:0010721","negative regulation of cell development",1.40937665095205,0.0371458938874669,"activated",77,6,"TRIB1; HLX; RAPGEF2; STAT5A; IFRD1; BTG2","14; 47; 62; 96; 115; 119","1.991; 1.312; 1.079; 0.63; 0.463; 0.424","signalling; uncharacterised; signalling; signalling; uncharacterised; apoptosis"
"GO:0097529","myeloid leukocyte migration",1.40807744869278,0.045872583597482,"activated",67,3,"TREM1; PLA2G7; PDE4B","11; 81; 148","2.127; 0.872; 0.191","immune; immune; uncharacterised"
"GO:0006913","nucleocytoplasmic transport",1.39596685777877,0.0306616814555412,"activated",110,1,"AGFG1","138","0.256","uncharacterised"
"GO:0051169","nuclear transport",1.39596685777877,0.0306616814555412,"activated",110,1,"AGFG1","138","0.256","uncharacterised"
"GO:0051259","protein complex oligomerization",1.37847771842029,0.0448851908103228,"activated",80,1,"PRF1","2","3.151","immune"
"GO:0045859","regulation of protein kinase activity",1.3777202721574,0.0166233510566775,"activated",110,4,"TRIB1; CASS4; RAPGEF2; PIK3R5","14; 44; 62; 154","1.991; 1.338; 1.079; 0.137","signalling; uncharacterised; signalling; immune"
"GO:0046486","glycerolipid metabolic process",1.3775098200401,0.0204377293865218,"activated",99,4,"GK5; PLA2G7; ACSL3; PIK3R5","64; 81; 95; 154","1.067; 0.872; 0.642; 0.137","uncharacterised; immune; metabolism; immune"
"GO:0042330","taxis",1.37650015648886,0.025491732872765,"activated",122,6,"TREM1; GPR183; IL10; PLA2G7; DOCK4; PDE4B","11; 35; 36; 81; 137; 148","2.127; 1.552; 1.539; 0.872; 0.262; 0.191","immune; uncharacterised; immune; immune; uncharacterised; uncharacterised"
"GO:0006935","chemotaxis",1.37566516795323,0.015458569886223,"activated",122,6,"TREM1; GPR183; IL10; PLA2G7; DOCK4; PDE4B","11; 35; 36; 81; 137; 148","2.127; 1.552; 1.539; 0.872; 0.262; 0.191","immune; uncharacterised; immune; immune; uncharacterised; uncharacterised"
"GO:0048638","regulation of developmental growth",1.37295227907719,0.0402354737865725,"activated",83,6,"JARID2; HLX; STAT5A; TRPV2; IFRD1; SPAG9","13; 47; 96; 100; 115; 156","1.994; 1.312; 0.63; 0.583; 0.463; 0.13","epigenetic; uncharacterised; signalling; immune; uncharacterised; uncharacterised"
"GO:0007409","axonogenesis",1.36875842106253,0.0204687236607236,"activated",96,8,"RPS6KA5; PRDM8; NR4A2; AUTS2; TRPV2; KALRN; IFRD1; SIPA1L1","23; 42; 94; 98; 100; 106; 115; 135","1.774; 1.365; 0.675; 0.603; 0.583; 0.536; 0.463; 0.273","signalling; epigenetic; apoptosis; epigenetic; immune; uncharacterised; uncharacterised; uncharacterised"
"GO:0006887","exocytosis",1.36808882058715,0.0305439952437574,"activated",78,3,"SNAP23; VPS18; PTGDR","112; 141; 145","0.51; 0.229; 0.212","uncharacterised; uncharacterised; uncharacterised"
"GO:0007015","actin filament organization",1.36036400053795,0.020397006485846,"activated",108,3,"RHOU; F11R; MARCKS","66; 97; 120","1.041; 0.614; 0.406","uncharacterised; uncharacterised; signalling"
"GO:0043086","negative regulation of catalytic activity",1.36012226597141,0.0192168693793594,"activated",107,4,"TRIB1; RAF1; IRS2; CAND1","14; 21; 26; 130","1.991; 1.863; 1.728; 0.293","signalling; signalling; signalling; uncharacterised"
"GO:0002237","response to molecule of bacterial origin",1.35752699662279,0.0329135371620767,"activated",103,5,"TRIB1; IL10; CD86; FASLG; PDE4B","14; 36; 57; 144; 148","1.991; 1.539; 1.164; 0.213; 0.191","signalling; immune; immune; immune; uncharacterised"
"GO:0051338","regulation of transferase activity",1.35395085471902,0.0240340375980216,"activated",134,5,"TRIB1; IRS2; CASS4; RAPGEF2; PIK3R5","14; 26; 44; 62; 154","1.991; 1.728; 1.338; 1.079; 0.137","signalling; signalling; uncharacterised; signalling; immune"
"GO:0030099","myeloid cell differentiation",1.33903585173385,0.0360069385633436,"activated",133,7,"HIF1A; TRIB1; GPR183; PRKDC; STAT5A; SNRK; ACVR1B","1; 14; 35; 46; 96; 125; 155","3.18; 1.991; 1.552; 1.313; 0.63; 0.344; 0.13","signalling; signalling; uncharacterised; uncharacterised; signalling; uncharacterised; uncharacterised"
"GO:0030900","forebrain development",1.33273642171247,0.0348796535723141,"activated",69,9,"HIF1A; AKNA; PRDM8; OTX1; RAPGEF2; NR4A2; BTG2; NDST1; DNAJB1","1; 7; 42; 53; 62; 94; 119; 121; 132","3.18; 2.244; 1.365; 1.215; 1.079; 0.675; 0.424; 0.388; 0.287","signalling; epigenetic; epigenetic; uncharacterised; signalling; apoptosis; apoptosis; uncharacterised; apoptosis"
"GO:0120031","plasma membrane bounded cell projection assembly",1.3192220629637,0.0315373456451081,"activated",154,7,"LAMA5; RAPGEF2; AUTS2; RPGR; RPGRIP1; DNMBP; CCDC146","48; 62; 98; 131; 160; 161; 162","1.262; 1.079; 0.603; 0.289; 0.118; 0.111; 0.094","uncharacterised; signalling; epigenetic; uncharacterised; uncharacterised; uncharacterised; uncharacterised"
"GO:0043410","positive regulation of MAPK cascade",1.31076390117967,0.0434779734080886,"activated",143,7,"RELL1; RAF1; GPR183; RAPGEF2; NDST1; PIK3R5; SPAG9","5; 21; 35; 62; 121; 154; 156","2.416; 1.863; 1.552; 1.079; 0.388; 0.137; 0.13","apoptosis; signalling; uncharacterised; signalling; uncharacterised; immune; uncharacterised"
"GO:0044089","positive regulation of cellular component biogenesis",1.30144041704414,0.0406805507898787,"activated",117,4,"ATG2A; TPPP; AUTS2; CAND1","31; 80; 98; 130","1.656; 0.879; 0.603; 0.293","uncharacterised; uncharacterised; epigenetic; uncharacterised"
